,Rock,,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/ec72b9151a400d6ece9beb9f65d55ad37491627c","https://i.scdn.co/image/248cf4c43a09393cf6f63ed137e6a8e20eb7e119","https://i.scdn.co/image/2e441ae8f2ba07d3545d263094512bd157c2c63e","https://i.scdn.co/image/0c99389f756fa08b8c504ebdcb2b00f906aa9b6c","https://i.scdn.co/image/4e10a4b20a4329cf083db88ad80c756df5e8c247","https://i.scdn.co/image/d6695e785737955d4417cc9363262e8b68f06f5c","https://i.scdn.co/image/ffd92e9c2ca517b9e3e728aa6710cbfe0cddc80e","https://i.scdn.co/image/7ee4f2b814d6b899e62dd69cba94624f70edc877","https://i.scdn.co/image/77d034ae9ffa7f3752786bb2a72f4be02155afbf","https://i.scdn.co/image/153ab476c08ed39bd752b942b8367f96b5f22382","https://i.scdn.co/image/b3511888aa2a54e6f0206cba6954fd044157a113","https://i.scdn.co/image/ffa6e5c07aad97bd632031de1d0eaad504ab5c8b","https://i.scdn.co/image/79eddf061ab3d4761efacb595b0cc393bb49382d","https://i.scdn.co/image/7199df74bb15de17f72704c79d482851c0cf4c38","https://i.scdn.co/image/9c24c71fae41df0d692ea8f8fdc1bc9f47c9263f","https://i.scdn.co/image/841b4191b4cf31628abf6f13e281b5fbad5d0fb7","https://i.scdn.co/image/cb8cbab189e9dfd92829cca3e88300b1a07d87da","https://i.scdn.co/image/466d175a58388768b977c324c346ba08c5a59af0","https://i.scdn.co/image/c8813ea36893563e752627623ea26b9e391f07b8","https://i.scdn.co/image/8277c6566e4ebe941c4a9246c3d50a440eec53a7","https://i.scdn.co/image/7e529991e0e57686e71169f33b78f2642da2c7f2",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Classical,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/cea8f86b1a8eda7fa7024093186c4517fdde22ac","https://i.scdn.co/image/a4608dfcd98cff4075707725acef57fc3139b666",,,,,,,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/de3876cb74e240a15451e172c856f1162ac4d65e","https://i.scdn.co/image/8508e2e121940cf702db84847fc9af8df1e9a62b",,,,,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/4c7354a253e562d95a434b9ed223ea56cdf50b50","https://i.scdn.co/image/2589dbca13f8ee6fd169af387bcfc34af23bc49e",,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/eb07b4b2da057f84361a2e073dd9cc9cc243c273",,,,,,,,,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/de4f14f40d4244c9b54d42ca364bc79c6ee55c9b","https://i.scdn.co/image/f894e6330b6e4d5d7ae46808415053046fb2de9f",,,,,,,,,,,,,,,,,,,,,,
